SMI,canonical_smi,lambda_max_exp_nm,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,NumAromaticRings,FractionCSP3,HeavyAtomCount,NumValenceElectrons,MolLogP_clipped
Brc1cc2C=CC3(Oc2c(c1)c1nc(c(n1Cc1ccccc1)c1ccccc1)c1ccccc1)N(C)c1c(C3(C)C)cc(cc1)Br,CN1c2ccc(Br)cc2C(C)(C)C12C=Cc1cc(Br)cc(-c3nc(-c4ccccc4)c(-c4ccccc4)n3Cc3ccccc3)c1O2,296.0,743.543,10.986899999999988,30.290000000000003,0,3,5,8,6,0.14634146341463414,47,232,10.986899999999988
OC[C@@H](C(=O)O)N,N[C@@H](CO)C(=O)O,321.0,105.09299999999999,-1.6093999999999997,83.55,3,3,2,0,0,0.6666666666666666,7,42,-1.6093999999999997
CCOc1cc(C=O)ccc1O,CCOc1cc(C=O)ccc1O,312.0,166.176,1.6034,46.53,1,3,3,1,1,0.2222222222222222,12,64,1.6034
COc1cc(C=O)ccc1O,COc1cc(C=O)ccc1O,308.0,152.14899999999997,1.2132999999999998,46.53,1,3,2,1,1,0.125,11,58,1.2132999999999998
Oc1c2ccc(cc2cc(c1N=Nc1ccc2c(c1)c(ncn2)N1CCOCC1)S(=O)(=O)[O-])Nc1ccccc1.[Na+],O=S(=O)([O-])c1cc2cc(Nc3ccccc3)ccc2c(O)c1N=Nc1ccc2ncnc(N3CCOCC3)c2c1.[Na+],495.0,578.5860000000002,2.3923000000000014,152.43,2,11,6,6,5,0.14285714285714285,41,202,2.3923000000000014
CNc1ccc2c(c1)c(O)c(c(c2)S(=O)(=O)[O-])N=Nc1ccc2c(c1)c(ncn2)N1CCOCC1.[Na+],CNc1ccc2cc(S(=O)(=O)[O-])c(N=Nc3ccc4ncnc(N5CCOCC5)c4c3)c(O)c2c1.[Na+],470.0,516.5150000000003,0.6903999999999992,152.42999999999998,2,11,5,5,4,0.21739130434782608,36,180,0.6903999999999992
COCC(C1NCc2c1cccc2)NC(c1ccccc1Nc1c(Cl)cccc1Cl)(C(=O)[O-])CC=O,COCC(NC(CC=O)(C(=O)[O-])c1ccccc1Nc1c(Cl)cccc1Cl)C1NCc2ccccc21,275.0,527.4280000000002,3.7203000000000026,102.52,3,7,11,4,3,0.25925925925925924,36,188,3.7203000000000026
c1ccc(cc1)C1=C2C=CC(=N2)C(=c2ccc(=C(C3=NC(=C(c4[nH]c1cc4C=Cc1ccc4c5c1ccc1c5c(cc4)ccc1)c1ccccc1)C=C3)c1ccccc1)[nH]2)c1ccccc1,C1=Cc2nc1c(-c1ccccc1)c1ccc([nH]1)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3[nH]c(cc3C=Cc3ccc4ccc5cccc6ccc3c4c56)c2-c2ccccc2)C=C1,425.0,841.03,16.391399999999976,57.36,2,2,6,13,11,0.0,66,308,15.0
N[C@H](C(=O)[O-])Cc1ccc(cc1)O,N[C@@H](Cc1ccc(O)cc1)C(=O)[O-],885.0,180.18299999999996,-0.9881000000000004,86.38,2,4,3,1,1,0.2222222222222222,13,70,-0.9881000000000004
[O-]C#N,N#C[O-],274.0,42.017,-1.17222,46.849999999999994,0,2,0,0,0,0.0,3,16,-1.17222
COc1cc(CO)ccc1OC,COc1ccc(CO)cc1OC,310.0,168.19199999999998,1.1961,38.69,1,3,3,1,1,0.3333333333333333,12,66,1.1961
NCCCCN,NCCCCN,724.1,88.15400000000001,-0.3159999999999998,52.04,2,2,3,0,0,1.0,6,38,-0.3159999999999998
NCCCNCCCCNCCCN,NCCCNCCCCNCCCN,885.4,202.34599999999995,-0.35659999999999775,76.1,4,4,11,0,0,1.0,14,86,-0.35659999999999775
NCCCNCCCCN,NCCCCNCCCN,880.7,145.25,-0.3362999999999989,64.07,3,3,7,0,0,1.0,10,62,-0.3362999999999989
C1N=CNC1=O,O=C1CN=CN1,459.0,84.07799999999999,-0.8554999999999999,41.46,1,2,0,1,0,0.3333333333333333,6,32,-0.8554999999999999
[O-]C(=O)c1ccc(cc1)c1cscc1,O=C([O-])c1ccc(-c2ccsc2)cc1,284.0,203.242,1.7786,40.129999999999995,0,3,2,2,2,0.0,14,70,1.7786
COC(=O)C(=C)C,C=C(C)C(=O)OC,408.0,100.11699999999998,0.7355,26.3,0,2,1,0,0,0.4,7,40,0.7355
C=CCN1c2ccccc2C(C21C=Cc1c(O2)ccc2c1ccc[n+]2C)(C)C.[I-],C=CCN1c2ccccc2C(C)(C)C12C=Cc1c(ccc3c1ccc[n+]3C)O2.[I-],269.0,496.39200000000005,1.754000000000001,16.35,0,2,2,5,3,0.24,29,148,1.754000000000001
CCCN1c2ccc(cc2C(C21C=Cc1c(O2)ccc2c1ccc[n+]2C)(C)C)Br.[I-],CCCN1c2ccc(Br)cc2C(C)(C)C12C=Cc1c(ccc3c1ccc[n+]3C)O2.[I-],269.0,577.3040000000001,2.740500000000001,16.35,0,2,2,5,3,0.32,30,156,2.740500000000001
Cc1ccc2c(c1)C(C)(C)C1(N2C)C=Cc2c(O1)ccc1c2ccc[n+]1C.[I-],Cc1ccc2c(c1)C(C)(C)C1(C=Cc3c(ccc4c3ccc[n+]4C)O1)N2C.[I-],270.0,484.3810000000001,1.5062200000000003,16.35,0,2,0,5,3,0.2916666666666667,28,144,1.5062200000000003
COc1ccc2c(c1)C(C)(C)C1(N2C)C=Cc2c(O1)ccc1c2ccc[n+]1C.[I-],COc1ccc2c(c1)C(C)(C)C1(C=Cc3c(ccc4c3ccc[n+]4C)O1)N2C.[I-],242.0,500.3800000000001,1.2064000000000001,25.58,0,3,1,5,3,0.2916666666666667,29,150,1.2064000000000001
