canonical_smi,solvent_grouped,et30,lambda_max_exp_nm
Oc1ccc(N=Nc2nc3ccccc3s2)c2cccnc12,DMSO,45.1,489.0
c1csc(-c2cc(-c3cccs3)c3ccc4c(-c5cccs5)cc(-c5cccs5)c5ccc2c3c54)c1,Cyclohexane,30.9,416.0
CC(C)CC(=O)NC1=CC(=O)C(=O)c2ccccc21,Ethanol,51.9,271.0
COC(=O)c1cc(O)n(-c2cc(C)c3c(O)n[nH]c3n2)n1,THF,37.4,296.0
CCOC(=O)C1=C(c2ccc3ccccc3c2)NC(=O)C1=NNc1cc([N+](=O)[O-])ccc1O,THF,37.4,555.0
C=Cc1ccc(-c2ccc(C(C#N)=Cc3ccc(-c4csc(C=C(C#N)c5ccccc5)c4)cc3)cc2)cc1,THF,37.4,366.0
CCn1c2c(c3ccccc31)=NN(c1ccccc1)[B-](F)(F)[O+]=2,THF,37.4,437.0
CCN(CC)c1ccc2c(O)c(N=Nc3ccccc3)c(=O)oc2c1,Methanol,55.4,463.0
CC1(C)c2cc(Br)ccc2-c2cc3c(C#C[Si](C)(C)C)c4ccccc4c(C#C[Si](C)(C)C)c3cc21,DCM,40.7,456.0
COc1ccc2cc(-c3scc4c3OCCO4)ccc2c1,DCM,40.7,318.0
CSc1ccc(N=Nc2nc3ccc([N+](=O)[O-])cc3s2)cc1,Methanol,55.4,437.0
CN1C(=CN=Nc2ccc(C=CC3=C(C#N)C(=C(C#N)C#N)OC3(C)C)cc2)Sc2ccccc21,THF,37.4,637.0
COc1ccccc1C=NCCN=Cc1ccccc1OC,DCM,40.7,246.0
COc1ccc(C#Cc2cc(C#Cc3ccc(OC)cc3)nc(C#Cc3ccc(OC)cc3)n2)cc1,Chloroform,39.1,335.0
c1ccc2scnc2c1,DMF,43.2,392.0
Oc1ccc(N=Nc2ccccc2)c2cccnc12,DMSO,45.1,396.0
C=Cc1ccc(-c2nnc(-c3ccccc3)s2)cc1,DMF,43.2,392.0
COC(=O)c1c(C(=O)OC)c2cccnn2c1C(=O)c1ccc(Cl)cc1,Cyclohexane,30.9,448.0
c1ccc2c(c1)[nH]c1c(-c3ccc4nc(Nc5ccc6cc(-c7cccc8c7[nH]c7ccccc78)ccc6n5)ccc4c3)cccc12,DCM,40.7,458.0
O=[N+]([O-])c1ccc2nc(N=Nc3ccccc3)sc2c1,Methanol,55.4,349.0
CC1(C)OC(=O)C(=CC=C2C=C(c3ccccc3)OC(c3ccccc3)=C2)C(=O)O1,DCM,40.7,498.0
NCCNc1cccc2c1C(=O)c1ccccc1C2=O,DCM,40.7,510.0
c1ccc2c(c1)nc1ccc3ccncc3n12,Ethanol,51.9,344.0
COc1ccc(-c2ccc3c(c2)c2ccccc2n3Cn2c3ccccc3c3cc(-c4ccc(OC)nc4)ccc32)cn1,THF,37.4,283.0
COc1cc(OC)c(C=NN=Cc2ccc([N+](=O)[O-])cc2)c(OC)c1,Dioxane,36.0,360.0
Oc1ccccc1C=NN=Cc1ccc2ccc3cccc4ccc1c2c34,Acetonitrile,45.6,388.0
CCN1c2ccc(C(F)(F)F)cc2C(C)(C)C12CCc1cc([N+](=O)[O-])ccc1O2,Acetonitrile,45.6,205.0
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,DMSO,45.1,292.0
CC(C)(C)[Si](C)(C)OC[C@H]1OC(n2ccc(=O)[nH]c2=O)=C(Cc2ccccc2)[C@@H]1O[Si](C)(C)C(C)(C)C,Methanol,55.4,254.0
CN(c1ccccc1)c1ccc(-c2cc3ccc4cc(-c5ccc(N(C)c6ccccc6)cc5)nc5c6ccccc6c(n2)c3c45)cc1,Toluene,33.9,384.0
COc1ccc(-c2cn3nc(-c4ccccc4)cc3c(=O)[nH]2)cc1,THF,37.4,327.0
CN(C)c1ccc(-c2nc(C=Cc3ccc([N+](=O)[O-])cc3)[nH]c2-c2ccc(N(C)C)cc2)cc1,DCM,40.7,470.0
Clc1nc(Nc2ccccc2)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,Acetonitrile,45.6,444.0
O=[N+]([O-])c1cc2c(c([N+](=O)[O-])c1)-c1c(cc([N+](=O)[O-])cc1[N+](=O)[O-])C2=CC=CC=C1C=C(c2ccccc2)OC(c2ccccc2)=C1,Toluene,33.9,761.0
Cc1ccc(N=Nc2sc(N)nc2-c2ccc(NC(=O)c3ccccc3)cc2)cc1,DMSO,45.1,479.0
CC(=O)Nc1cc(N(CCOC(C)=O)CCOC(C)=O)ccc1N=Nc1ccc([N+](=O)[O-])cc1Cl,Methanol,55.4,507.0
Cc1ccc(-n2cccc2)cc1,Chloroform,39.1,315.0
COc1cc(C=Cc2nc3ccccc3o2)c(OC)cc1C=Cc1nc(C)nc(C=Cc2cc(OC)c(C=Cc3nc4ccccc4o3)cc2OC)n1,THF,37.4,502.0
CCOc1cccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)c1O,DCM,40.7,335.0
CCN1C(=CC2=C([O-])C(=CC3=[N+](CC)c4ccccc4C3(C)C)C2=O)C(C)(C)c2c1ccc1ccccc21,Chloroform,39.1,650.0
COc1ccc(-c2ccc3cc4cc(OC)ccc4nc3n2)cc1,Acetone,42.2,444.0
CC1c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc2-c2cc3nc4c5cccc6ccc7cccc(c4nc3cc21)c7c65,DMSO,45.1,464.0
CCOc1cc(C(=O)OC)c2cccnn12,Cyclohexane,30.9,429.0
CC(C)(C)c1cccc2c3ccccc3n(-c3ccc4c(-c5ccccc5)c5ccccc5c(-c5ccccc5)c4c3)c12,DCM,40.7,340.0
CC(C)CN1C(=O)c2cccc3c(NCCN)ccc(c23)C1=O,Acetone,42.2,431.0
Cc1cc(N)no1,DMSO,45.1,310.0
O=[N+]([O-])c1ccc(N=Nc2ccc(O)c3ncccc23)cc1,DMSO,45.1,445.0
Cc1c(N=Nc2nc(-c3cc4ccccc4oc3=O)cs2)c2ccccc2n1C,DMSO,45.1,462.0
O=[N+]([O-])c1ccc(C=c2c(O)c3ccccc3c3c2=Nc2ccccc2N3)cc1,THF,37.4,558.0
CCN(N)CCN(CCN(N)CC)c1ccc([N+](=O)[O-])c2nonc12,Acetone,42.2,345.0
C(=Cc1cc(-c2ccccn2)nc(-c2ccccn2)n1)c1ccc(C=C2C=C(c3ccccc3)OC(c3ccccc3)=C2)cc1,DCM,40.7,460.0
c1ccc2sc(-c3sc(-c4cc5ccccc5s4)c4c3OCCO4)cc2c1,DCM,40.7,395.0
Cc1c(C(N)=O)c(=O)oc2cc3c(cc12)nc(Nc1cccc(Br)c1)n3CCOc1ccccc1,Ethanol,51.9,363.0
C1=CC(c2ccc(C=Cc3ccc(-c4ccnc(-c5cccc(-c6ccccc6)n5)c4)cc3)cc2)C2=Nc3ccccc3C2=C1,DCM,40.7,469.0
